genre,age,zone,secteur,informel,personnes_a_charge,anciennete_activite_mois,chiffre_affaires,charges_activite,revenu_activite,flux_tresorerie_net,charges_perso,montant_demande,duree_mois,mensualite,taux_endettement,couverture_cashflow,epargne_mensuelle,regularite_epargne,participe_tontine,regularite_tontine,a_historique,nb_credits_anterieurs,nb_retards,deja_impaye,a_caution,capacite_caution,score_reputation,type_probleme,defaut
F,44,rural,services,0,3,25,582000,255000,327000,343000,74000,394000,12,38700,0.118,8.863,10000,0.748,0,0,1,1,1,0,1,0.366,0.875,aucun,0
F,38,urbain,vente_vivres,0,4,33,3186000,2931000,255000,212000,106000,2425000,12,238500,0.935,0.889,14000,0.542,0,0,1,2,1,0,1,0.827,0.651,aucun,0
F,30,urbain,commerce_detail,1,5,45,366000,311000,55000,47000,50000,341000,6,67100,1.22,0.7,5000,0.844,1,0.828,1,0,1,0,1,0.631,0.753,aucun,0
F,35,urbain,commerce_detail,1,4,39,1463000,1174000,289000,263000,86000,1005000,9,131800,0.456,1.995,31000,0.519,0,0,0,0,0,0,1,0.174,0.708,aucun,0
M,31,urbain,artisanat,0,7,37,941000,497000,444000,333000,139000,529000,12,52000,0.117,6.404,28000,0.351,1,0.671,1,3,2,1,1,0.652,0.633,aucun,0
F,41,urbain,vente_vivres,0,3,54,3579000,2954000,625000,470000,73000,3705000,9,485800,0.777,0.967,73000,0.847,0,0,1,1,1,0,1,0.29,0.79,aucun,0
F,62,urbain,commerce_detail,0,4,43,368000,314000,54000,44000,43000,228000,12,22400,0.415,1.964,2000,0.663,1,0.649,1,0,1,0,1,0.429,0.82,aucun,0
F,43,urbain,services,0,1,52,671000,201000,470000,364000,34000,328000,6,64500,0.137,5.643,69000,0.545,0,0,0,0,0,0,0,0,0.334,aucun,0
F,37,rural,commerce_detail,1,4,21,777000,641000,136000,133000,82000,244000,18,16000,0.118,8.312,4000,0.758,1,0.809,1,3,1,0,0,0,0.869,aucun,0
F,32,urbain,artisanat,0,2,17,1279000,811000,468000,473000,49000,520000,12,51100,0.109,9.256,81000,0.627,0,0,0,0,0,0,1,0.598,0.621,aucun,0
M,26,urbain,commerce_detail,0,2,76,1895000,1697000,198000,173000,57000,1587000,12,156100,0.788,1.108,26000,0.54,0,0,0,0,0,0,1,0.414,0.818,aucun,0
M,45,rural,commerce_detail,1,6,10,647000,520000,127000,115000,112000,271000,18,17800,0.14,6.46,18000,0.703,0,0,1,5,0,0,1,0.94,0.79,retards,1
F,44,urbain,commerce_detail,0,1,19,235000,195000,40000,37000,39000,150000,9,19700,0.492,1.878,2000,0.515,1,0.946,1,4,1,0,1,0.288,0.445,aucun,0
F,34,urbain,vente_vivres,0,2,28,326000,282000,44000,34000,27000,150000,18,9800,0.223,3.469,2000,0.569,0,0,0,0,0,0,1,0.488,0.874,aucun,0
F,49,rural,vente_vivres,1,3,66,674000,559000,115000,102000,61000,385000,24,18900,0.164,5.397,17000,0.812,0,0,1,2,1,0,1,0.52,0.533,aucun,0
F,38,rural,services,1,3,17,1551000,466000,1085000,1126000,51000,1242000,12,122100,0.113,9.222,163000,0.305,1,0.46,1,2,1,0,1,0.256,0.945,retards,1
M,45,urbain,vente_vivres,0,3,13,175000,141000,34000,28000,21000,150000,18,9800,0.288,2.857,4000,0.566,1,0.727,1,5,4,0,1,0.505,0.9,aucun,0
F,41,urbain,vente_vivres,1,3,22,221000,178000,43000,33000,26000,150000,18,9800,0.228,3.367,3000,0.651,0,0,1,4,0,0,1,0.587,0.613,aucun,0
F,36,rural,commerce_detail,0,3,26,1137000,994000,143000,119000,77000,1090000,12,107200,0.75,1.11,14000,0.844,1,0.814,1,5,1,0,1,0.592,0.724,aucun,0
M,29,rural,commerce_detail,1,3,36,199000,163000,36000,33000,32000,172000,12,16900,0.469,1.953,5000,0.271,0,0,1,2,3,1,1,0.401,0.905,retards,1
F,37,urbain,artisanat,1,7,46,230000,141000,89000,90000,63000,252000,9,33000,0.371,2.727,13000,0.865,0,0,1,3,0,1,1,0.277,0.831,aucun,0
F,46,urbain,commerce_detail,1,1,54,1569000,1239000,330000,283000,43000,573000,9,75100,0.228,3.768,27000,0.5,1,0.71,1,1,1,0,1,0.338,0.963,aucun,0
M,33,urbain,agriculture,0,5,15,495000,349000,146000,125000,104000,409000,12,40200,0.275,3.109,21000,0.808,0,0,0,0,0,0,0,0,0.839,aucun,0
F,42,urbain,commerce_detail,1,5,10,464000,398000,66000,56000,44000,218000,6,42900,0.65,1.305,8000,0.969,1,0.959,0,0,0,0,1,0.437,0.924,aucun,0
F,28,rural,commerce_detail,1,9,35,48655000,42747000,5908000,5921000,158000,32936000,12,3238700,0.548,1.828,897000,0.101,1,0.734,1,8,0,0,1,0.261,0.745,aucun,0
F,45,rural,commerce_detail,1,0,17,242000,195000,47000,42000,31000,214000,12,21000,0.447,2,7000,0.407,1,0.837,1,4,0,0,1,0.284,0.684,retards,1
M,41,urbain,commerce_detail,1,4,25,204000,173000,31000,26000,24000,150000,18,9800,0.316,2.653,2000,0.831,0,0,0,0,0,0,1,0.586,0.967,aucun,0
F,27,rural,services,0,3,29,2385000,1014000,1371000,1101000,77000,1540000,9,201900,0.147,5.453,190000,0.204,0,0,1,2,2,0,1,0.163,0.832,aucun,0
F,36,rural,vente_vivres,1,5,26,728000,602000,126000,99000,102000,349000,12,34300,0.272,2.886,14000,0.901,0,0,0,0,0,0,0,0,0.779,aucun,0
F,46,urbain,commerce_detail,0,2,12,1064000,846000,218000,227000,58000,406000,9,53200,0.244,4.267,26000,0.179,0,0,1,1,0,0,1,0.248,0.688,retards,1
F,27,rural,services,0,1,37,458000,131000,327000,293000,38000,396000,12,38900,0.119,7.532,13000,0.484,1,0.552,1,0,1,0,0,0,0.873,aucun,0
M,28,urbain,quincaillerie_materiaux,1,2,91,545000,505000,40000,31000,38000,256000,12,25200,0.63,1.23,6000,0.87,1,0.557,0,0,0,0,0,0,0.618,aucun,0
F,37,urbain,artisanat,1,3,33,328000,159000,169000,173000,79000,230000,12,22600,0.134,7.655,4000,0.816,1,0.934,0,0,0,0,0,0,0.73,aucun,0
M,57,urbain,agriculture,0,0,99,15967000,9220000,6747000,6991000,43000,13392000,9,1755800,0.26,3.982,236000,0.476,0,0,0,0,0,0,1,0.735,0.414,aucun,0
M,32,urbain,services,0,3,10,1211000,544000,667000,548000,76000,759000,12,74600,0.112,7.346,42000,0.236,0,0,1,3,2,0,1,0.614,0.874,aucun,0
M,42,rural,services,0,0,21,7904000,2358000,5546000,4685000,36000,2872000,12,282400,0.051,16.59,760000,0.587,1,0.667,1,2,1,0,1,0.851,0.888,aucun,0
F,40,urbain,services,0,2,83,1471000,349000,1122000,1165000,49000,383000,18,25100,0.022,46.412,84000,0.338,0,0,1,0,0,0,1,0.571,0.815,aucun,0
M,33,urbain,vente_vivres,1,4,21,1049000,910000,139000,105000,80000,603000,6,118600,0.853,0.885,15000,0.437,0,0,0,0,0,0,1,0.178,0.62,impaye,1
M,39,urbain,services,1,3,39,5725000,1165000,4560000,3864000,59000,6251000,12,614700,0.135,6.286,753000,0.466,1,0.566,0,0,0,0,1,0.4,0.571,aucun,0
F,34,urbain,commerce_detail,0,3,33,528000,439000,89000,78000,66000,569000,24,28000,0.315,2.786,11000,0.453,1,0.747,1,2,0,0,1,0.662,0.762,aucun,0
M,35,urbain,services,0,1,28,408000,85000,323000,317000,54000,257000,12,25300,0.078,12.529,48000,0.686,0,0,0,0,0,0,0,0,0.846,aucun,0
M,23,rural,agriculture,0,0,55,1133000,770000,363000,312000,23000,684000,12,67300,0.185,4.636,9000,0.527,1,0.367,1,6,1,1,1,0.119,0.462,aucun,0
F,38,urbain,commerce_detail,1,2,34,884000,756000,128000,109000,57000,707000,12,69500,0.543,1.568,1000,0.626,1,0.381,0,0,0,0,0,0,0.785,aucun,0
M,46,urbain,artisanat,0,6,50,665000,300000,365000,354000,121000,637000,12,62600,0.172,5.655,16000,0.587,0,0,1,3,0,0,0,0,0.57,aucun,0
F,39,rural,artisanat,0,0,84,1413000,802000,611000,614000,42000,1048000,12,103100,0.169,5.955,99000,0.576,1,0.403,1,3,1,0,1,0.703,0.746,aucun,0
M,48,urbain,commerce_detail,1,1,56,122000,109000,13000,10000,20000,150000,18,9800,0.754,1.02,2000,0.615,0,0,0,0,0,0,0,0,0.741,aucun,0
M,43,rural,vente_vivres,1,2,19,358000,304000,54000,43000,38000,150000,12,14800,0.274,2.905,4000,0.492,0,0,0,0,0,0,1,0.46,0.964,aucun,0
F,37,urbain,artisanat,0,5,111,384000,257000,127000,120000,93000,383000,12,37700,0.297,3.183,21000,0.442,0,0,0,0,0,0,0,0,0.599,aucun,0
M,32,urbain,agriculture,1,2,45,740000,571000,169000,143000,49000,524000,12,51500,0.305,2.777,20000,0.429,0,0,1,4,2,0,0,0,0.655,aucun,0
F,34,rural,commerce_detail,1,4,30,955000,772000,183000,174000,82000,638000,12,62700,0.343,2.775,26000,0.938,1,0.855,1,2,1,0,0,0,0.402,aucun,0
M,25,rural,vente_vivres,1,5,17,597000,519000,78000,63000,65000,259000,12,25500,0.327,2.47,1000,0.558,1,0.912,1,1,0,0,1,0.825,0.79,aucun,0
M,36,rural,services,0,3,35,195000,79000,116000,115000,68000,150000,12,14800,0.128,7.77,17000,0.9,1,0.277,1,3,0,0,1,0.786,0.558,aucun,0
F,39,urbain,commerce_detail,1,3,22,844000,730000,114000,96000,72000,475000,12,46700,0.41,2.056,10000,0.634,1,0.817,1,6,0,0,1,0.207,0.829,aucun,0
F,53,urbain,commerce_detail,1,2,15,666000,580000,86000,73000,48000,687000,12,67600,0.786,1.08,1000,0.719,1,0.375,1,1,0,0,0,0,0.973,aucun,0
F,43,rural,commerce_detail,1,2,18,171000,139000,32000,26000,24000,150000,18,9800,0.306,2.653,0,0.231,0,0,0,0,0,0,1,0.645,0.687,aucun,0
F,30,urbain,commerce_detail,1,1,14,465000,414000,51000,41000,37000,279000,6,54900,1.076,0.747,5000,0.589,0,0,0,0,0,0,0,0,0.451,impaye,1
F,25,rural,quincaillerie_materiaux,1,4,11,14652000,12394000,2258000,2099000,87000,5396000,12,530600,0.235,3.956,239000,0.293,0,0,1,4,1,0,1,0.653,0.526,aucun,0
F,36,urbain,quincaillerie_materiaux,0,2,27,2434000,2169000,265000,245000,42000,737000,18,48300,0.182,5.072,9000,0.38,1,0.781,0,0,0,0,0,0,0.765,aucun,0
F,45,rural,quincaillerie_materiaux,1,4,31,237000,217000,20000,20000,20000,181000,12,17800,0.89,1.124,1000,0.393,0,0,1,1,1,1,0,0,0.803,retards,1
F,36,urbain,services,1,5,42,1169000,339000,830000,779000,107000,1244000,12,122300,0.147,6.37,59000,0.519,0,0,1,2,1,0,1,0.276,0.833,aucun,0
M,43,urbain,vente_vivres,1,2,44,239000,207000,32000,28000,27000,151000,24,7400,0.231,3.783,0,0.587,1,0.597,1,4,0,0,0,0,0.407,aucun,0
M,36,urbain,commerce_detail,1,4,25,203000,175000,28000,28000,103000,150000,18,9800,0.35,2.857,5000,0.805,0,0,1,2,0,0,1,0.644,0.446,aucun,0
M,44,urbain,commerce_detail,1,2,27,213000,190000,23000,17000,20000,150000,12,14800,0.643,1.149,3000,0.228,1,0.646,1,0,1,0,1,0.387,0.277,impaye,1
F,24,rural,commerce_detail,1,2,37,18191000,15167000,3024000,2905000,61000,12437000,12,1223000,0.404,2.375,136000,0.649,0,0,1,3,2,0,1,0.577,0.736,retards,1
M,52,urbain,commerce_detail,0,0,18,667000,569000,98000,89000,37000,594000,12,58400,0.596,1.524,15000,0.513,0,0,1,2,0,0,1,0.651,0.617,retards,1
M,28,urbain,commerce_detail,0,1,48,457000,364000,93000,76000,34000,290000,9,38000,0.409,2,10000,0.64,0,0,0,0,0,0,0,0,0.657,aucun,0
F,45,rural,commerce_detail,1,2,28,881000,694000,187000,176000,54000,914000,12,89900,0.481,1.958,6000,0.172,1,0.371,1,1,2,0,1,0.438,0.842,aucun,0
F,36,rural,commerce_detail,0,5,53,618000,484000,134000,140000,106000,491000,12,48300,0.36,2.898,19000,0.564,0,0,1,0,0,0,1,0.854,0.473,aucun,0
M,37,urbain,services,0,3,36,656000,209000,447000,382000,64000,231000,12,22700,0.051,16.827,8000,0.758,1,0.523,0,0,0,0,1,0.542,0.749,aucun,0
F,36,rural,quincaillerie_materiaux,1,2,30,461000,406000,55000,52000,54000,160000,12,15700,0.285,3.312,4000,0.369,1,0.623,1,6,3,0,0,0,0.396,impaye,1
F,40,urbain,artisanat,0,3,61,249000,117000,132000,116000,78000,179000,12,17600,0.133,6.591,18000,0.782,0,0,1,3,1,0,0,0,0.884,aucun,0
M,42,rural,services,0,5,14,2515000,617000,1898000,1647000,103000,2345000,12,230600,0.121,7.142,307000,0.769,1,0.804,1,1,2,0,0,0,0.783,aucun,0
F,48,urbain,quincaillerie_materiaux,1,5,41,1964000,1668000,296000,249000,100000,1381000,12,135800,0.459,1.834,15000,0.594,0,0,0,0,0,0,0,0,0.58,aucun,0
F,51,urbain,commerce_detail,1,4,76,2307000,2046000,261000,214000,87000,2153000,12,211700,0.811,1.011,28000,0.522,1,0.886,1,3,1,0,0,0,0.617,aucun,0
M,41,urbain,quincaillerie_materiaux,0,1,36,378000,314000,64000,53000,42000,150000,12,14800,0.231,3.581,10000,0.447,0,0,1,4,0,0,0,0,0.521,aucun,0
M,53,urbain,commerce_detail,1,0,33,334000,280000,54000,53000,39000,177000,12,17400,0.322,3.046,8000,0.689,0,0,1,1,3,0,1,0.328,0.682,aucun,0
F,39,urbain,vente_vivres,0,1,54,420000,376000,44000,37000,41000,150000,24,7400,0.168,4.999,0,0.455,0,0,0,0,0,0,1,0.521,0.761,aucun,0
M,48,urbain,vente_vivres,1,2,25,1488000,1346000,142000,129000,61000,822000,12,80800,0.569,1.597,2000,0.384,0,0,1,1,0,0,1,0.602,0.857,aucun,0
M,42,rural,vente_vivres,1,0,29,597000,527000,70000,57000,43000,438000,12,43100,0.616,1.322,2000,0.795,1,0.801,1,2,0,0,0,0,0.576,aucun,0
F,33,urbain,commerce_detail,1,2,17,4939000,4010000,929000,756000,54000,5120000,9,671300,0.723,1.126,2000,0.564,0,0,1,1,0,0,1,0.527,0.428,aucun,0
M,40,urbain,services,0,2,24,814000,188000,626000,580000,51000,522000,12,51300,0.082,11.306,101000,0.432,1,0.502,1,3,0,0,0,0,0.708,aucun,0
F,43,rural,artisanat,0,4,47,319000,155000,164000,152000,78000,182000,12,17900,0.109,8.491,2000,0.592,1,0.77,0,0,0,0,0,0,0.669,aucun,0
F,38,rural,services,0,0,29,189000,74000,115000,104000,21000,156000,12,15300,0.133,6.797,19000,0.85,0,0,0,0,0,0,0,0,0.586,aucun,0
M,42,rural,quincaillerie_materiaux,0,5,20,10581000,9022000,1559000,1493000,97000,9104000,12,895200,0.574,1.668,86000,0.532,1,0.498,1,5,0,0,1,0.335,0.482,aucun,0
F,46,urbain,vente_vivres,1,1,63,9845000,8275000,1570000,1478000,53000,3893000,12,382800,0.244,3.861,21000,0.806,1,0.899,0,0,0,0,0,0,0.851,aucun,0
M,38,urbain,commerce_detail,1,4,58,6460000,5175000,1285000,1041000,96000,5462000,12,537100,0.418,1.938,87000,0.302,0,0,0,0,0,0,0,0,0.901,aucun,0
M,20,urbain,services,0,3,102,1248000,385000,863000,662000,67000,884000,9,115900,0.134,5.712,113000,0.653,0,0,1,1,0,0,0,0,0.487,aucun,0
F,53,urbain,quincaillerie_materiaux,1,4,22,7269000,6228000,1041000,865000,83000,4963000,12,488000,0.469,1.773,25000,0.668,0,0,1,3,0,1,1,0.836,0.559,aucun,0
M,35,urbain,commerce_detail,0,5,58,575000,473000,102000,90000,63000,623000,12,61300,0.601,1.468,18000,0.851,1,0.778,1,5,0,1,1,0.291,0.943,impaye,1
F,31,rural,commerce_detail,1,1,46,165000,129000,36000,29000,26000,150000,12,14800,0.411,1.959,1000,0.498,0,0,0,0,0,0,1,0.711,0.834,aucun,0
M,28,rural,artisanat,0,3,38,169000,94000,75000,67000,78000,159000,9,20800,0.277,3.221,12000,0.857,0,0,1,3,1,0,1,0.782,0.835,aucun,0
F,35,rural,quincaillerie_materiaux,1,4,78,617000,514000,103000,78000,77000,585000,12,57500,0.558,1.356,0,0.331,0,0,0,0,0,0,0,0,0.787,aucun,0
M,33,urbain,vente_vivres,0,0,41,1084000,937000,147000,131000,28000,868000,12,85400,0.581,1.534,19000,0.567,0,0,1,1,3,0,1,0.657,0.62,aucun,0
M,31,rural,quincaillerie_materiaux,1,4,23,280000,250000,30000,26000,100000,150000,12,14800,0.493,1.757,3000,0.41,0,0,1,3,0,0,0,0,0.841,aucun,0
F,32,urbain,vente_vivres,0,1,28,478000,414000,64000,66000,41000,269000,18,17600,0.275,3.75,9000,0.796,0,0,1,3,0,0,0,0,0.719,aucun,0
M,43,rural,vente_vivres,0,3,14,487000,398000,89000,90000,66000,439000,12,43200,0.485,2.083,11000,0.618,0,0,1,1,1,0,0,0,0.712,impaye,1
M,56,urbain,commerce_detail,0,6,45,158000,135000,23000,24000,20000,150000,6,29500,1.283,0.814,1000,0.599,0,0,0,0,0,0,1,0.552,0.564,aucun,0
M,45,urbain,vente_vivres,1,5,78,1634000,1388000,246000,233000,101000,1738000,12,170900,0.695,1.363,2000,0.213,1,0.881,0,0,0,0,0,0,0.727,aucun,0
M,48,urbain,services,1,2,41,511000,148000,363000,378000,43000,150000,12,14800,0.041,25.539,26000,0.634,1,0.774,1,0,0,0,0,0,0.754,aucun,0
M,35,rural,commerce_detail,1,2,38,516000,412000,104000,84000,54000,374000,12,36800,0.354,2.283,11000,0.388,1,0.872,1,0,0,0,1,0.799,0.694,aucun,0
F,39,rural,services,0,1,53,820000,368000,452000,411000,48000,264000,12,26000,0.058,15.807,69000,0.394,0,0,0,0,0,0,1,0.406,0.72,aucun,0
F,42,rural,commerce_detail,0,1,48,159000,132000,27000,26000,21000,150000,18,9800,0.363,2.653,1000,0.192,1,0.653,1,0,0,0,1,0.147,0.59,aucun,0
F,32,rural,services,0,1,64,1305000,410000,895000,801000,39000,1010000,12,99300,0.111,8.066,49000,0.52,1,0.94,1,1,1,0,0,0,0.739,aucun,0
M,34,rural,quincaillerie_materiaux,1,8,33,1459000,1212000,247000,201000,150000,867000,12,85300,0.345,2.356,15000,0.71,1,0.901,1,3,1,0,1,0.363,0.792,aucun,0
F,46,rural,quincaillerie_materiaux,1,2,43,673000,602000,71000,67000,60000,226000,12,22200,0.313,3.018,9000,0.563,0,0,1,0,0,0,1,0.735,0.363,aucun,0
F,48,urbain,quincaillerie_materiaux,0,3,32,885000,753000,132000,137000,84000,561000,24,27600,0.209,4.964,3000,0.801,0,0,0,0,0,0,0,0,0.702,aucun,0
F,39,rural,agriculture,1,2,17,453000,326000,127000,115000,52000,248000,18,16300,0.128,7.055,12000,0.718,1,0.764,0,0,0,0,1,0.376,0.767,aucun,0
M,27,urbain,vente_vivres,0,5,19,1244000,1005000,239000,197000,111000,510000,18,33400,0.14,5.898,25000,0.513,1,0.559,1,1,1,0,1,0.695,0.319,aucun,0
F,35,urbain,services,0,3,23,11727000,3216000,8511000,6487000,86000,4763000,18,312200,0.037,20.778,799000,0.376,1,0.659,0,0,0,0,1,0.773,0.814,aucun,0
M,25,urbain,services,0,5,16,7168000,2770000,4398000,3436000,114000,6956000,12,684000,0.156,5.023,431000,0.831,0,0,1,3,1,1,1,0.815,0.537,aucun,0
F,39,urbain,commerce_detail,1,3,37,611000,506000,105000,103000,86000,323000,12,31800,0.303,3.239,8000,0.725,0,0,0,0,0,0,1,0.55,0.412,aucun,0
M,40,rural,commerce_detail,1,2,55,578000,453000,125000,112000,60000,193000,12,19000,0.152,5.894,22000,0.5,0,0,0,0,0,0,1,0.307,0.928,aucun,0
F,36,rural,vente_vivres,1,3,25,1482000,1326000,156000,127000,78000,570000,24,28000,0.179,4.536,13000,0.777,1,0.858,1,3,0,0,1,0.244,0.359,aucun,0
F,40,urbain,commerce_detail,0,6,13,3836000,3437000,399000,402000,110000,3114000,24,153100,0.384,2.626,60000,0.474,1,0.904,1,1,1,0,0,0,0.98,aucun,0
M,42,rural,vente_vivres,1,4,22,544000,460000,84000,74000,64000,307000,12,30200,0.36,2.45,8000,0.339,0,0,0,0,0,0,1,0.491,0.791,aucun,0
M,40,urbain,vente_vivres,1,5,29,891000,779000,112000,111000,86000,265000,12,26100,0.233,4.253,12000,0.671,1,0.807,0,0,0,0,1,0.793,0.838,aucun,0
F,27,urbain,quincaillerie_materiaux,1,5,53,302000,260000,42000,42000,31000,150000,12,14800,0.352,2.838,6000,0.626,1,0.483,1,2,3,0,0,0,0.826,aucun,0
F,36,urbain,commerce_detail,1,2,35,1436000,1216000,220000,212000,68000,432000,12,42500,0.193,4.988,39000,0.855,1,0.519,0,0,0,0,0,0,0.822,aucun,0
M,42,urbain,services,0,2,35,385000,148000,237000,247000,67000,338000,12,33200,0.14,7.44,6000,0.458,1,0.53,1,2,1,0,1,0.425,0.47,aucun,0
M,52,urbain,vente_vivres,0,2,44,8653000,7580000,1073000,1093000,47000,8415000,18,551600,0.514,1.982,112000,0.389,0,0,1,3,1,0,1,0.516,0.57,aucun,0
F,36,urbain,services,0,4,57,144000,40000,104000,82000,90000,150000,12,14800,0.142,5.54,3000,0.387,1,0.481,0,0,0,0,0,0,0.989,aucun,0
F,43,urbain,commerce_detail,1,1,76,3705000,2977000,728000,621000,48000,2645000,12,260100,0.357,2.388,6000,0.185,0,0,0,0,0,0,1,0.574,0.85,aucun,0
M,46,urbain,vente_vivres,1,5,25,1387000,1200000,187000,194000,87000,809000,12,79600,0.426,2.437,30000,0.442,0,0,0,0,0,0,0,0,0.824,aucun,0
M,36,rural,commerce_detail,1,3,33,230000,198000,32000,30000,23000,150000,12,14800,0.462,2.027,6000,0.514,0,0,1,2,1,0,0,0,0.803,retards,1
M,48,urbain,services,1,4,25,4289000,1474000,2815000,2486000,64000,3790000,12,372700,0.132,6.67,350000,0.268,0,0,1,3,1,0,0,0,0.453,aucun,0
M,49,urbain,vente_vivres,0,5,43,271000,221000,50000,50000,32000,254000,12,25000,0.5,2,4000,0.594,0,0,1,3,1,0,1,0.323,0.833,aucun,0
F,50,urbain,agriculture,1,4,13,457000,289000,168000,158000,81000,479000,18,31400,0.187,5.032,23000,0.548,1,0.667,1,3,1,0,0,0,0.893,aucun,0
M,42,urbain,commerce_detail,1,0,88,198000,172000,26000,22000,22000,215000,24,10600,0.408,2.075,5000,0.743,0,0,1,0,2,0,1,0.306,0.843,aucun,0
M,59,urbain,quincaillerie_materiaux,1,4,45,527000,441000,86000,71000,55000,448000,12,44100,0.513,1.61,14000,0.544,0,0,0,0,0,0,0,0,0.703,aucun,0
M,32,urbain,commerce_detail,0,5,41,571000,506000,65000,65000,97000,236000,12,23200,0.357,2.802,10000,0.348,0,0,1,1,1,0,1,0.426,0.581,aucun,0
F,57,rural,quincaillerie_materiaux,1,2,22,1209000,1053000,156000,157000,64000,1291000,18,84600,0.542,1.856,14000,0.401,1,0.514,1,4,0,0,0,0,0.894,aucun,0
F,45,urbain,vente_vivres,0,4,27,4745000,4246000,499000,512000,70000,1681000,12,165300,0.331,3.097,19000,0.652,1,0.854,0,0,0,0,1,0.634,0.754,aucun,0
M,50,rural,vente_vivres,1,3,16,386000,325000,61000,60000,52000,188000,12,18500,0.303,3.243,1000,0.739,1,0.731,1,2,0,0,0,0,0.913,aucun,0
F,35,urbain,commerce_detail,0,0,22,58000,48000,10000,8000,35000,150000,12,14800,1.48,0.541,0,0.294,1,0.638,1,1,0,0,1,0.192,0.287,impaye,1
M,46,urbain,commerce_detail,0,1,57,1036000,928000,108000,94000,38000,713000,12,70100,0.649,1.341,7000,0.677,0,0,1,2,0,0,0,0,0.855,retards,1
F,51,urbain,commerce_detail,1,2,14,374000,317000,57000,48000,40000,171000,18,11200,0.196,4.285,0,0.332,0,0,1,3,0,0,0,0,0.402,aucun,0
M,28,urbain,agriculture,1,1,98,2802000,1607000,1195000,989000,39000,1948000,12,191600,0.16,5.162,145000,0.616,1,0.465,1,1,2,0,1,0.607,0.617,aucun,0
M,37,urbain,vente_vivres,1,1,64,580000,531000,49000,48000,33000,525000,12,51600,1.053,0.93,7000,0.882,1,0.645,0,0,0,0,1,0.388,0.787,aucun,0
F,20,urbain,commerce_detail,0,1,41,313000,258000,55000,43000,43000,151000,12,14800,0.269,2.905,8000,0.669,1,0.843,1,0,0,0,0,0,0.732,aucun,0
F,36,urbain,agriculture,0,3,21,252000,180000,72000,64000,45000,170000,12,16700,0.232,3.832,1000,0.443,1,0.877,1,2,2,0,0,0,0.859,aucun,0
M,31,rural,commerce_detail,1,2,50,1014000,807000,207000,209000,63000,501000,12,49300,0.238,4.239,7000,0.327,0,0,0,0,0,0,0,0,0.762,aucun,0
M,36,urbain,vente_vivres,1,8,47,7985000,7208000,777000,767000,148000,4697000,12,461900,0.594,1.661,135000,0.484,0,0,1,3,3,0,0,0,0.812,aucun,0
F,64,urbain,services,1,1,25,2079000,914000,1165000,967000,36000,894000,12,87900,0.075,11.001,209000,0.823,1,0.789,0,0,0,0,0,0,0.771,aucun,0
M,53,rural,artisanat,1,3,45,499000,268000,231000,176000,84000,425000,9,55700,0.241,3.16,40000,0.47,0,0,1,4,1,0,0,0,0.751,impaye,1
M,25,urbain,services,0,1,29,1988000,470000,1518000,1327000,46000,1028000,6,202200,0.133,6.563,252000,0.612,1,0.626,0,0,0,0,1,0.483,0.636,aucun,0
F,43,rural,vente_vivres,1,3,12,185000,160000,25000,23000,20000,150000,12,14800,0.592,1.554,1000,0.461,1,0.36,0,0,0,0,1,0.431,0.345,impaye,1
F,45,rural,agriculture,1,1,17,136000,80000,56000,56000,23000,150000,12,14800,0.264,3.784,8000,0.597,0,0,0,0,0,0,0,0,0.607,aucun,0
F,35,rural,commerce_detail,0,4,62,1208000,1006000,202000,184000,87000,447000,24,22000,0.109,8.363,8000,0.947,1,0.694,1,5,1,0,1,0.699,0.602,aucun,0
F,40,urbain,agriculture,0,6,27,402000,279000,123000,102000,129000,327000,12,32200,0.262,3.168,6000,0.325,0,0,1,4,1,0,1,0.478,0.674,aucun,0
F,40,urbain,artisanat,0,2,23,477000,230000,247000,236000,49000,253000,6,49800,0.202,4.739,22000,0.881,1,0.645,0,0,0,0,0,0,0.811,aucun,0
F,26,rural,artisanat,1,4,37,253000,169000,84000,73000,58000,168000,12,16500,0.196,4.424,12000,0.313,0,0,1,4,1,0,1,0.759,0.981,aucun,0
M,29,rural,commerce_detail,0,4,10,237000,205000,32000,32000,83000,204000,6,40100,1.253,0.798,3000,0.758,1,0.632,1,4,1,0,0,0,0.669,aucun,0
F,40,rural,commerce_detail,1,3,35,1025000,844000,181000,137000,83000,1061000,12,104300,0.576,1.314,7000,0.505,1,0.804,1,3,0,0,0,0,0.907,aucun,0
M,39,urbain,services,0,3,38,14410000,4380000,10030000,8783000,54000,14144000,12,1390800,0.139,6.315,1642000,0.483,0,0,0,0,0,0,0,0,0.825,aucun,0
F,32,urbain,vente_vivres,1,4,49,243000,219000,24000,21000,21000,247000,12,24300,1.012,0.864,1000,0.41,1,0.722,1,1,1,0,1,0.229,0.078,aucun,0
F,31,urbain,vente_vivres,0,6,19,1169000,1002000,167000,155000,104000,342000,12,33600,0.201,4.613,23000,0.826,0,0,0,0,0,0,1,0.67,0.723,aucun,0
M,37,urbain,artisanat,0,1,25,1621000,1097000,524000,449000,50000,985000,12,96900,0.185,4.634,72000,0.766,1,0.594,0,0,0,0,0,0,0.406,aucun,0
M,46,urbain,quincaillerie_materiaux,0,4,38,544000,450000,94000,82000,76000,507000,12,49900,0.531,1.643,2000,0.765,0,0,0,0,0,0,1,0.577,0.886,aucun,0
